FIPStxt,State,County_name,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,Economic_Type_Label,Farming_2015_Update,Mining_2015-Update,Manufacturing_2015_Update,Government_2015_Update,Recreation_2015_Update,Nonspecialized_2015_Update,Low_Education_2015_Update,Low_Employment_Cnty_2008_2012_25_64,Pop_Loss_2010,Retirement_Dest_2015_Update,Persistent_Poverty_2013,Persistent_Related_Child_Poverty_2013
6001,CA,Alameda County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6003,CA,Alpine County,0,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6005,CA,Amador County,0,4,Federal/State Government,0,0,0,1,0,0,0,1,0,0,0,0
6007,CA,Butte County,1,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0
6009,CA,Calaveras County,0,5,Recreation,0,0,0,0,1,0,0,1,0,0,0,0
6011,CA,Colusa County,0,1,Farming,1,0,0,0,0,0,1,0,0,0,0,0
6013,CA,Contra Costa County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6015,CA,Del Norte County,0,4,Federal/State Government,0,0,0,1,0,0,1,1,0,0,0,0
6017,CA,El Dorado County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6019,CA,Fresno County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,1
6021,CA,Glenn County,0,1,Farming,1,0,0,0,0,0,1,1,0,0,0,0
6023,CA,Humboldt County,0,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6025,CA,Imperial County,1,4,Federal/State Government,0,0,0,1,0,0,1,1,0,0,0,1
6027,CA,Inyo County,0,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6029,CA,Kern County,1,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,0
6031,CA,Kings County,1,4,Federal/State Government,0,0,0,1,0,0,1,1,0,0,0,0
6033,CA,Lake County,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0
6035,CA,Lassen County,0,4,Federal/State Government,0,0,0,1,0,0,1,1,0,0,0,0
6037,CA,Los Angeles County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6039,CA,Madera County,1,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,1
6041,CA,Marin County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6043,CA,Mariposa County,0,5,Recreation,0,0,0,1,1,0,0,1,0,0,0,0
6045,CA,Mendocino County,0,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6047,CA,Merced County,1,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,0
6049,CA,Modoc County,0,4,Federal/State Government,0,0,0,1,0,0,0,1,0,0,0,0
6051,CA,Mono County,0,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6053,CA,Monterey County,1,5,Recreation,0,0,0,0,1,0,1,0,0,0,0,0
6055,CA,Napa County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6057,CA,Nevada County,0,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6059,CA,Orange County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6061,CA,Placer County,1,5,Recreation,0,0,0,0,1,0,0,0,0,1,0,0
6063,CA,Plumas County,0,5,Recreation,0,0,0,0,1,0,0,1,0,0,0,0
6065,CA,Riverside County,1,5,Recreation,0,0,0,0,1,0,1,0,0,1,0,0
6067,CA,Sacramento County,1,4,Federal/State Government,0,0,0,1,0,0,0,0,0,0,0,0
6069,CA,San Benito County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6071,CA,San Bernardino County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6073,CA,San Diego County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6075,CA,San Francisco County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6077,CA,San Joaquin County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6079,CA,San Luis Obispo County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6081,CA,San Mateo County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6083,CA,Santa Barbara County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6085,CA,Santa Clara County,1,3,Maufacturing,0,0,1,0,0,0,0,0,0,0,0,0
6087,CA,Santa Cruz County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6089,CA,Shasta County,1,0,Nonspecialized,0,0,0,0,0,1,0,1,0,1,0,0
6091,CA,Sierra County,0,5,Recreation,0,0,0,0,1,0,0,1,0,0,0,0
6093,CA,Siskiyou County,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0
6095,CA,Solano County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6097,CA,Sonoma County,1,5,Recreation,0,0,0,0,1,0,0,0,0,0,0,0
6099,CA,Stanislaus County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6101,CA,Sutter County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,0
6103,CA,Tehama County,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0
6105,CA,Trinity County,0,4,Federal/State Government,0,0,0,1,1,0,0,1,0,0,0,0
6107,CA,Tulare County,1,0,Nonspecialized,0,0,0,0,0,1,1,0,0,0,0,1
6109,CA,Tuolumne County,0,5,Recreation,0,0,0,0,1,0,0,1,0,0,0,0
6111,CA,Ventura County,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,0,0,0
6113,CA,Yolo County,1,4,Federal/State Government,0,0,0,1,0,0,0,0,0,0,0,0
6115,CA,Yuba County,1,4,Federal/State Government,0,0,0,1,0,0,1,1,0,0,0,1
