GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,2014
6000,California state total,8,CA30,10,...,Personal income (thousands of dollars),1939527656
6000,California state total,8,CA30,45,...,  Net earnings by place of residence,1256673559
6000,California state total,8,CA30,50,...,  Personal current transfer receipts,293656439
6000,California state total,8,CA30,60,...,    Income maintenance benefits 1/,34985185
6000,California state total,8,CA30,70,...,    Unemployment insurance compensation,6134390
6000,California state total,8,CA30,80,...,    Retirement and other,252536864
6000,California state total,8,CA30,90,...,"  Dividends, interest, and rent 2/",389197658
6000,California state total,8,CA30,100,...,  Population (persons) 3/,38802500
6000,California state total,8,CA30,110,...,  Per capita personal income 4/,49985
6000,California state total,8,CA30,120,...,  Per capita net earnings 4/,32386
6000,California state total,8,CA30,130,...,  Per capita personal current transfer receipts 4/,7568
6000,California state total,8,CA30,140,...,    Per capita income maintenance benefits 4/,902
6000,California state total,8,CA30,150,...,    Per capita unemployment insurance compensation 4/,158
6000,California state total,8,CA30,160,...,    Per capita retirement and other 4/,6508
6000,California state total,8,CA30,170,...,"  Per capita dividends, interest, and rent 4/",10030
6000,California state total,8,CA30,180,...,  Earnings by place of work,1406610607
6000,California state total,8,CA30,190,...,    Wages and salaries,991162737
6000,California state total,8,CA30,200,...,    Supplements to wages and salaries,235024289
6000,California state total,8,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,168421112
6000,California state total,8,CA30,202,...,      Employer contributions for government social insurance,66603177
6000,California state total,8,CA30,210,...,    Proprietors' income,180423581
6000,California state total,8,CA30,220,...,      Farm proprietors' income,11975684
6000,California state total,8,CA30,230,...,      Nonfarm proprietors' income,168447897
6000,California state total,8,CA30,240,...,Total employment (number of jobs),22040057
6000,California state total,8,CA30,250,...,  Wage and salary employment,16688639
6000,California state total,8,CA30,260,...,  Proprietors employment,5351418
6000,California state total,8,CA30,270,...,    Farm proprietors employment 6/,63251
6000,California state total,8,CA30,280,...,    Nonfarm proprietors employment,5288167
6000,California state total,8,CA30,290,...,Average earnings per job (dollars),63821
6000,California state total,8,CA30,300,...,  Average wages and salaries,59391
6000,California state total,8,CA30,310,...,  Average nonfarm proprietors' income,31854
6001,"Alameda, CA",8,CA30,10,...,Personal income (thousands of dollars),90631392
6001,"Alameda, CA",8,CA30,45,...,  Net earnings by place of residence,62620520
6001,"Alameda, CA",8,CA30,50,...,  Personal current transfer receipts,12008859
6001,"Alameda, CA",8,CA30,60,...,    Income maintenance benefits 1/,1240090
6001,"Alameda, CA",8,CA30,70,...,    Unemployment insurance compensation,234524
6001,"Alameda, CA",8,CA30,80,...,    Retirement and other,10534245
6001,"Alameda, CA",8,CA30,90,...,"  Dividends, interest, and rent 2/",16002013
6001,"Alameda, CA",8,CA30,100,...,  Population (persons) 3/,1610921
6001,"Alameda, CA",8,CA30,110,...,  Per capita personal income 4/,56261
6001,"Alameda, CA",8,CA30,120,...,  Per capita net earnings 4/,38872
6001,"Alameda, CA",8,CA30,130,...,  Per capita personal current transfer receipts 4/,7455
6001,"Alameda, CA",8,CA30,140,...,    Per capita income maintenance benefits 4/,770
6001,"Alameda, CA",8,CA30,150,...,    Per capita unemployment insurance compensation 4/,146
6001,"Alameda, CA",8,CA30,160,...,    Per capita retirement and other 4/,6539
6001,"Alameda, CA",8,CA30,170,...,"  Per capita dividends, interest, and rent 4/",9933
6001,"Alameda, CA",8,CA30,180,...,  Earnings by place of work,67248710
6001,"Alameda, CA",8,CA30,190,...,    Wages and salaries,49696788
6001,"Alameda, CA",8,CA30,200,...,    Supplements to wages and salaries,11542166
6001,"Alameda, CA",8,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,8124408
6001,"Alameda, CA",8,CA30,202,...,      Employer contributions for government social insurance,3417758
6001,"Alameda, CA",8,CA30,210,...,    Proprietors' income,6009756
6001,"Alameda, CA",8,CA30,220,...,      Farm proprietors' income,26047
6001,"Alameda, CA",8,CA30,230,...,      Nonfarm proprietors' income,5983709
6001,"Alameda, CA",8,CA30,240,...,Total employment (number of jobs),965585
6001,"Alameda, CA",8,CA30,250,...,  Wage and salary employment,748870
6001,"Alameda, CA",8,CA30,260,...,  Proprietors employment,216715
